"journal","url","year","address","issn","author","number","volume","numpages","issue_date","series","ENTRYTYPE","doi","abstract","publisher","pages","booktitle","location","keywords","month","articleno","isbn","note","title","ID"
"","https://doi.org/10.1109/GREENS66463.2025.00015","2025","","","Ahuja, Naman; Feng, Yile; Li, Luming; Malik, Amisha; Sivayoganathan, Thuvaragan; Balani, Navveen; Rakhunathan, Srinivasan; Sarro, Federica","","","8","","GREENS '25","inproceedings","10.1109/GREENS66463.2025.00015","With increasing awareness of climate change, there is a growing emphasis on the environmental impact of digital solutions. While numerous tools are available to assess software environmental footprint post-development, few focus on sustainability during the software design phase. To address this gap, we propose EcoDocSense, a framework that supports engineers to evaluate the sustainability of a software design at design time. Using Large Language Models fine-tuned on a catalog of green software patterns, EcoDocSense analyzes software architecture documents to generate sustainability reports, assessing alignment with green software practices to minimize carbon emissions and recommending improvements. As one of the first frameworks targeting sustainability at the design stage, EcoDocSense represents a significant advancement, though opportunities remain for further enhancement. In future, we plan to extend EcoDocSense’s applicability to a variety of architectural types and documents as well as to provide the capability to estimate carbon emissions.","IEEE Press","68–75","Proceedings of the 2025 IEEE/ACM 9th International Workshop on Green and Sustainable Software","Ottawa, ON, Canada","","","","","","Automatically Assessing Software Architecture Compliance With Green Software Patterns","10.1109/GREENS66463.2025.00015"
"Appl. Comput. Syst.","https://doi.org/10.2478/acss-2021-0001","2021","Berlin, DEU","2255-8691","Qasim, Awais; Munawar, Adeel; Hassan, Jawad; Khalid, Adnan","1","26","11","May 2021","","article","10.2478/acss-2021-0001","Energy efficiency in mobile computing is really an important issue these days. Owing to the popularity and prevalence of Android operating system among the people, a great number of Android smartphone applications have been developed and proliferated by the software developers. While developing these applications, developers have to keep energy consumption factor in mind, as the efficiency of an application is largely affected by it. Thus, designers and programmers endeavour to choose the best designing approaches to develop energy-efficient applications. It is imperative to assist the programmers in choosing appropriate techniques and strategies to manage power consumption. In the present research, we have investigated the effect of Android application design on its energy utilisation. For this purpose, we have practically implemented design patterns on two Android applications and evaluated their energy consumption before and after implementing these patterns. We have modelled the high-level design of these two Android applications by using software design patterns in such a way as to abate their energy requirement. We have also checked how the quality, maintainability, and efficiency of code are affected by these design patterns. The outcomes of the research can facilitate programmers to utilise these details while developing energy efficient solutions.","Walter de Gruyter GmbH","1–11","","","Energy efficiency, green computing, green design, software design, software maintenance","May","","","","Evaluating the Impact of Design Pattern Usage on Energy Consumption of Applications for Mobile Platform","10.2478/acss-2021-0001"
"","https://doi.org/10.1007/978-3-031-70797-1_15","2024","Berlin, Heidelberg","","Ochoa, Juan Sebastian; P\'{e}rez, Jennifer; Garc\'{\i}a, Javier; Guam\'{a}n, Daniel; Ca\~{n}as, Norberto; Rodriguez-Horcajo, Vanessa","","","16","","","inproceedings","10.1007/978-3-031-70797-1_15","IoT has led energy consumption to be a critical issue for sustainability due to the huge amount of power connections of IoT devices and the huge amount of generated data that must be transmitted and stored. As a result, the data monitoring process and its processing activities must be performed by the nodes and servers of the Edge in a sustainable way. The IoT monitoring process of data consists of four main activities: listening, filtering, translating and routing. Once the data has been monitored, it can be stored and transmitted to the Edge/Cloud. In order to address sustainable monitoring processes in the Edge, it is necessary to evaluate how the configuration of the components that compose the Edge monitoring architecture may influence its energy consumption. In this paper, we present the experimental results of an exploratory study and its findings, in which the energy consumption of four different software architecture configurations of an indoor environmental monitoring IoT system is measured. From the execution of 24 experiments, the study reveals the importance of balancing the monitoring activities between the Edge nodes and servers, and evidences the energy consumption increment that data storage implies for the Edge.","Springer-Verlag","217–232","Software Architecture: 18th European Conference, ECSA 2024, Luxembourg City, Luxembourg, September 3–6, 2024, Proceedings","Luxembourg City, Luxembourg","Software Architecture, Edge, IoT, Data Monitoring, Sustainability, Energy Consumption","","","978-3-031-70796-4","","Energy Consumption of&nbsp;IoT Monitoring Software Architectures in&nbsp;the&nbsp;Edge","10.1007/978-3-031-70797-1_15"
"","https://doi.org/10.1007/978-3-032-02138-0_17","2025","Berlin, Heidelberg","","Capuano, Roberta; O’Dea, Eoan; Muccini, Henry","","","16","","","inproceedings","10.1007/978-3-032-02138-0_17","As energy demands rise and sustainability becomes critical, Information and Communication Technology’s energy footprint is increasingly monitored. In this context, software architecture may play a significant role in determining a system’s energy consumption.This study aims to evaluate and compare the energy consumption of monolithic and microservice-based software to understand their implications for sustainable software design. We applied a cohort study approach in a controlled experimental environment using two open-source Java applications—PetClinic and TicketMonster—each implemented in both monolithic and microservice versions. Three use cases, representing different workloads, were defined and executed 30 times each per version, resulting in 360 total runs. Server energy use was measured with Powerstat and analyzed using Welch’s t-test.Our findings show that microservices may consume less energy than their monolithic counterparts under medium and heavy loads. Specifically, PetClinic and TicketMonster showed energy reductions of 4.99% and 5.05%, respectively. Across all use cases and applications, microservices demonstrated an average energy saving of 5.02% compared to monoliths.These results suggest that microservice architectures may offer improved energy efficiency in high-demand scenarios due to better resource utilization and modular execution. While the study is limited to controlled conditions and two case studies, it provides a foundation for further research on architectural decisions and sustainable software engineering practices.","Springer-Verlag","260–275","Software Architecture: 19th European Conference, ECSA 2025, Limassol, Cyprus, September 15–19, 2025, Proceedings","Limassol, Cyprus","software architecture, energy efficiency, sustainable software","","","978-3-032-02137-3","","A Comparative Analysis of Monolith vs Microservices Energy Consumption","10.1007/978-3-032-02138-0_17"
"Int. J. Inf. Commun. Techol.","https://doi.org/10.1504/ijict.2023.132168","2023","Geneva 15, CHE","1466-6642","Wang, Min","1","23","16","2023","","article","10.1504/ijict.2023.132168","This paper presents a new energy consumption prediction system of intelligent building based on fuzzy Petri net. When designing the database, the method improves the coverage of the database based on fuzzy petri net, and completes the design of the intelligent building energy consumption prediction system through system software design, overall architecture design, system data flow design and database design. In the database, SPSS software is used to analyse the relationship between the influencing factors and building energy consumption. According to the analysis results, the building energy consumption is predicted by artificial neural network, and the design of intelligent building energy consumption prediction system is realised. The experimental results show that the database coverage of the proposed method is more than 90%, the prediction accuracy is up to 95%, and the prediction time is always less than 0.5 s.","Inderscience Publishers","57–73","","","fuzzy petri net, building energy consumption, prediction system design, system database, SPSS software","January","","","","Energy consumption prediction system for intelligent building based on fuzzy petri net","10.1504/ijict.2023.132168"
"J. Softw. Evol. Process","https://doi.org/10.1002/smr.70014","2025","USA","2047-7473","Connolly&nbsp;Bree, D\'{e}agl\'{a}n; \'{O}&nbsp;Cinn\'{e}ide, Mel","4","37","25","April 2025","","article","10.1002/smr.70014","Interest in the energy consumption of software has grown with rising energy costs and greater environmental awareness. Many approaches to research in this area have been proposed, from the examination of hardware and compiler optimizations to platform specific software modifications. However, the impact of general software design on energy efficiency remains unclear. The goal of this research is to summarize the findings of studies that empirically examine the impact of design patterns, code smells, and refactorings (which we collectively describe as design elements) on energy consumption. Our secondary goal is to provide an overview of the impact of these aspects of software design on energy performance and discuss the current state of the art. We present a systematic literature review (SLR) of papers that examine the impact of the aforementioned design elements on energy consumption. We perform a search through four major databases, a manual search through publications of eight conferences and five journals from 2010 through 2023, in addition to snowballing. We extract relevant data from the literature and present an overview of each experiment's setup, the data reported, and results for each design element studied. Beginning with a set of 8684 papers, we select 24 that include studies of these design elements. Overall, they provide data on 22 design patterns, 17 code smells, and 31 refactorings. Many studies are preliminary in nature, and contradictory findings are frequent. We present three main findings: (i) a wide array of design patterns, code smells, and refactorings have been examined from an energy performance perspective; (ii) many of these studies are preliminary in nature and indicate the need for further research; (iii) there has been little growth recently in publications empirically examining these aspects of software design.This SLR provides insight into the state of the art of the field investigating how software transformation impacts energy performance. While a wide array of design patterns, refactorings, and code smells have been examined from this perspective, there remains much to explore in future work.  image image","John Wiley &amp; Sons, Inc.","","","","code smells, design patterns, energy performance, refactoring, software design, systematic literature review","March","","","","How Software Design Affects Energy Performance: A Systematic Literature Review","10.1002/smr.70014"
"","https://doi.org/10.1145/3644815.3644972","2024","New York, NY, USA","","del Rey, Santiago","","","3","","CAIN '24","inproceedings","10.1145/3644815.3644972","The widespread integration of Machine Learning (ML) in software systems has brought forth unprecedented advancements, yet the surge in energy consumption raises ecological concerns. This research addresses the environmental impact of ML development, focusing on the energy implications of design decisions in ML-based systems. This thesis aims to offer insights into the energy consumption patterns influenced by deployment architecture and training environment. Different case studies on ML-based systems will be conducted to validate and demonstrate the implications of these design choices. The expected outcomes encompass actionable insights, validated through rigorous evaluations, and the development of an energy prediction tool for ML-based system development, to help in the decision-making process. This work contributes to the broader field of Green AI by addressing a critical gap and guiding the transition towards a more sustainable AI landscape.","Association for Computing Machinery","256–258","Proceedings of the IEEE/ACM 3rd International Conference on AI Engineering - Software Engineering for AI","Lisbon, Portugal","green AI, energy efficiency, software engineering, sustainable computing","","","9798400705915","","Software Design Decisions for Greener Machine Learning-based Systems","10.1145/3644815.3644972"
"","https://doi.org/10.1145/1596486.1596493","2009","New York, NY, USA","","Seo, Chiyoung; Edwards, George; Popescu, Daniel; Malek, Sam; Medvidovic, Nenad","","","8","","SAVCBS '09","inproceedings","10.1145/1596486.1596493","The architectural style used in a software system is an important factor in satisfying its quality requirements. In battery-powered environments, such as mobile and pervasive systems, efficiency with respect to energy consumption is often an important quality requirement. In this paper, we present a framework that facilitates early estimation of the energy consumption induced by an architectural style in a distributed system, and enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed application. We apply the framework to three architectural styles, and evaluate it for precision and accuracy using a middleware platform that supports the implementation of those styles. In a large number of application scenarios, our framework exhibited excellent precision, in that it was consistently able to correctly rank the styles and estimate the relative differences in their energy costs. Moreover, the framework has also proven to be accurate: its estimates were within 7% of each style implementation's actual energy cost.","Association for Computing Machinery","27–34","Proceedings of the 8th International Workshop on Specification and Verification of Component-Based Systems","Amsterdam, The Netherlands","architectural styles, component-based systems, energy consumption, quality metrics","","","9781605586809","","A framework for estimating the energy consumption induced by a distributed system's architectural style","10.1145/1596486.1596493"
"","https://doi.org/10.1145/3129790.3129818","2017","New York, NY, USA","","Munoz, Daniel-Jesus; Pinto, M\'{o}nica; Fuentes, Lidia","","","7","","ECSA '17","inproceedings","10.1145/3129790.3129818","Energy is a critical resource, and designing a sustainable software architecture is a non-trivial task. Developers require energy metrics that support sustainable software architectures reflecting quality attributes such as security, reliability, performance, etc., identifying what are the concerns that impact more in the energy consumption. A variability model of different designs and implementations of an energy model should exist for this task, as well as a service that stores and compares the experimentation results of energy and time consumption of each concern, finding out what is the most eco-efficient solution. The experimental measurements are performed by energy experts and researchers that share the energy model and metrics in a collaborative repository. HADAS confronts these tasks modelling and reasoning with the variability of energy consuming concerns for different energy contexts, connecting HADAS variability model with its energy efficiency collaborative repository, establishing a Software Product Line (SPL) service. Our main goal is to help developers to perform sustainability analyses finding out the eco-friendliest architecture configurations. A HADAS toolkit prototype is implemented based on a Clafer model and Choco solver, and it has been tested with several case studies.","Association for Computing Machinery","205–211","Proceedings of the 11th European Conference on Software Architecture: Companion Proceedings","Canterbury, United Kingdom","CVL, clafer, energy efficiency, metrics, optimisation, repository, software product line, variability","","","9781450352178","","Green software development and research with the HADAS toolkit","10.1145/3129790.3129818"
"","https://doi.org/10.1109/WICSA.2008.28","2008","USA","","Seo, Chiyoung; Edwards, George; Malek, Sam; Medvidovic, Nenad","","","4","","WICSA '08","inproceedings","10.1109/WICSA.2008.28","The selection of an architectural style for a given software system is an important factor in satisfying its quality requirements. In battery-powered environments, such as mobile and pervasive systems, efficiency with respect to energy consumption has increasingly been recognized as an important quality attribute. In this paper, we present a framework that (1) facilitates early estimation of the energy consumption induced by an architectural style in a distributed software system, and (2) consequently enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed application. We have applied the framework on five distributed systems styles to date, and have evaluated it for precision and accuracy using a particular middleware platform that supports the implementation of those styles. In a large number of application scenarios, our framework exhibited excellent precision, in that it was consistently able to correctly rank the five styles and estimate the relative differences in their energy consumptions. Moreover, the framework has also proven to be accurate: its estimates were within 7% of the different style implementations' actually measured energy consumptions.","IEEE Computer Society","277–280","Proceedings of the Seventh Working IEEE/IFIP Conference on Software Architecture (WICSA 2008)","","Architectural styles, component-based distributed systems, energy estimation","","","9780769530925","","A Framework for Estimating the Impact of a Distributed Software System's Architectural Style on its Energy Consumption","10.1109/WICSA.2008.28"
