"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Framework for Estimating the Impact of a Distributed Software System's Architectural Style on its Energy Consumption","C. Seo; G. Edwards; S. Malek; N. Medvidovic","Computer Science Department, University of Southern California, Los Angeles, CA, U.S.A.; Computer Science Department, University of Southern California, Los Angeles, CA, U.S.A.; Department of Computer Science, George Mason University Fairfax, Fairfax, VA, U.S.A.; Computer Science Department, University of Southern California, Los Angeles, CA, U.S.A.",Seventh Working IEEE/IFIP Conference on Software Architecture (WICSA 2008),"3 Mar 2008","2008","","","277","280","The selection of an architectural style for a given software system is an important factor in satisfying its quality requirements. In battery-powered environments, such as mobile and pervasive systems, efficiency with respect to energy consumption has increasingly been recognized as an important quality attribute. In this paper, we present a framework that (1) facilitates early estimation of the energy consumption induced by an architectural style in a distributed software system, and (2) consequently enables an engineer to use energy consumption estimates along with other quality attributes in determining the most appropriate style for a given distributed application. We have applied the framework on five distributed systems styles to date, and have evaluated it for precision and accuracy using a particular middleware platform that supports the implementation of those styles. In a large number of application scenarios, our framework exhibited excellent precision, in that it was consistently able to correctly rank the five styles and estimate the relative differences in their energy consumptions. Moreover, the framework has also proven to be accurate: its estimates were within 7% of the different style implementations ' actually measured energy consumptions.","","978-0-7695-3092-5","10.1109/WICSA.2008.28","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4459169","Architectural styles;energy estimation;component-based distributed systems","Software systems;Energy consumption;Middleware;Software architecture;Application software;Connectors;Power engineering and energy;Energy measurement;Publish-subscribe;Peer to peer computing","","12","","13","IEEE","3 Mar 2008","","","IEEE","IEEE Conferences"
"Dashboard system for measuring green software design","N. C. Pa; F. Karim; S. Hassan","Dept. of Software Engineering and Information Technology, Universiti Putra Malaysia, Selangor, Malaysia; Dept. of Software Engineering and Information Technology, Universiti Putra Malaysia, Selangor, Malaysia; Dept. of Software Engineering and Information Technology, Universiti Putra Malaysia, Selangor, Malaysia",2017 3rd International Conference on Science in Information Technology (ICSITech),"15 Jan 2018","2017","","","325","329","Global ICT industry is claimed to account for approximately 2 percent of global carbon dioxide which is a figure equivalent to the aviation industry. This is due to lack of awareness to reduce the environmental impact of ICT products and services by the ICT industry practitioners. Therefore, we proposed a GreenDash system, a web-based dashboard that provides a platform for software developers to measure green software design. Software developers capable to calculate sustainability of green software design based on the four components of Information System (IS): database, hardware, people and network. GreenDash System helps to assist software developers to ensure that they considered about green software in designing software product and services.","","978-1-5090-5866-2","10.1109/ICSITech.2017.8257133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257133","green software design;dashboard system;green design","Green products;Hardware;Air pollution;Energy measurement;Software design","","3","","11","IEEE","15 Jan 2018","","","IEEE","IEEE Conferences"
"Power consumption aware software architecture for M-health applications with adaptive security of network protocols","V. Ciric; J. Zlatanovic; E. Milovanovic; N. Stojanovic","Faculty of Electronic Engineering, University of Nis, Nis, Serbia; Nissatech Innovation Centre d.o.o., Nis, Serbia; Faculty of Electronic Engineering, University of Nis, Nis, Serbia; Nissatech Innovation Centre d.o.o., Nis, Serbia","2015 12th International Conference on Telecommunication in Modern Satellite, Cable and Broadcasting Services (TELSIKS)","17 Dec 2015","2015","","","297","300","The goal of this paper is development of software architecture for mobile devices, which is able to trade-off between security levels and power consumption. The analysis of the influence of different security protocols on power consumption is given. The proposed architecture is described in detail. Three different security levels with corresponding cipher suites are proposed: low, medium and high. The architecture is implemented on Android platform. The difference in power consumptions of the cipher suites in high and low security/power profiles is around 8.2% for WiFi, and 9.6% for 3G network. In order to further reduce the power consumption during network communication, the delay between sending two successive packets is analyzed. The proposed architecture is capable of stalling packets and sending them in burst-mode, letting the network interface to stay in low-power mode for a longer period of time. The power consumption in this mode is reduced for additional 25%.","","978-1-4673-7516-0","10.1109/TELSKS.2015.7357791","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7357791","Mobile applications;security protocols;battery life;power consumption","Ciphers","","","","12","IEEE","17 Dec 2015","","","IEEE","IEEE Conferences"
"The software design of energy efficiency data acquisition and management of operational ships","Q. Yin; W. Yang; K. Ding; M. Huang","School of Energy and Power Engineering, Wuhan University of Technology, Wuhan, China; School of Energy and Power Engineering, Wuhan University of Technology, Wuhan, China; School of Energy and Power Engineering, Wuhan University of Technology, Wuhan, China; School of Energy and Power Engineering, Wuhan University of Technology, Wuhan, China",2017 4th International Conference on Transportation Information and Safety (ICTIS),"21 Sep 2017","2017","","","722","726","The effective acquisition and statistics of the energy efficiency data of operational ships are of great importance to accurately know the energy efficiency level and emission of the ship for the Ship Management Administration. It is also needed for making the policy of energy saving and emission reduction. The energy efficiency data acquisition and management software is developed based on the above situation. The data, which is the essential part of the software, is determined by making investigations of the ships, shipping companies and the Maritime Safety Administration. And the acquisition methods of the ship fuel consumption, mileage and cargo data are mainly studied. Finally, the general framework, the database framework, and function as well as the main interfaces of the software are designed aiming at the various demands of the users. And this software is developed by using the Microsoft Visual Studio 2013 and the Active Server Page.net. The test results of the software show that the software has the following functions: (1) Collecting, inputting and inquiring the efficiency data of the operational ships can be finished; (2) The energy efficiency of the single and multi-voyages can be calculated and analyzed; (3) The energy efficiency of different ships, shipping routes, shipping companies, main engines, ship design companies and the Marine Check Organization can be analyzed and compared; (4) The annual report of ship energy efficiency can be generated automatically.","","978-1-5386-0437-3","10.1109/ICTIS.2017.8047847","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8047847","Operational ships;Energy saving and emission reduction;Energy efficiency;Data acquisition;Data analysis","Energy efficiency;Marine vehicles;Companies;Information management;Navigation;Software;Fuels","","4","","6","IEEE","21 Sep 2017","","","IEEE","IEEE Conferences"
"Automatically Assessing Software Architecture Compliance With Green Software Patterns","N. Ahuja; Y. Feng; L. Li; A. Malik; T. Sivayoganathan; N. Balani; S. Rakhunathan; F. Sarro","University College London, London, United Kingdom; University College London, London, United Kingdom; University College London, London, United Kingdom; University College London, London, United Kingdom; University College London, London, United Kingdom; Accenture, Mumbai, India; Microsoft, Hyderabad, India; University College London, London, United Kingdom",2025 IEEE/ACM 9th International Workshop on Green and Sustainable Software (GREENS),"19 Jun 2025","2025","","","68","75","With increasing awareness of climate change, there is a growing emphasis on the environmental impact of digital solutions. While numerous tools are available to assess software environmental footprint post-development, few focus on sustainability during the software design phase. To address this gap, we propose EcoDocSense, a framework that supports engineers to evaluate the sustainability of a software design at design time. Using Large Language Models fine-tuned on a catalog of green software patterns, EcoDocSense analyzes software architecture documents to generate sustainability reports, assessing alignment with green software practices to minimize carbon emissions and recommending improvements. As one of the first frameworks targeting sustainability at the design stage, EcoDocSense represents a significant advancement, though opportunities remain for further enhancement. In future, we plan to extend EcoDocSense’s applicability to a variety of architectural types and documents as well as to provide the capability to estimate carbon emissions.","2473-1161","979-8-3315-3815-6","10.1109/GREENS66463.2025.00015","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11039296","Sustainable Software Architecture;Green Software Patterns;Green Software Development","Climate change;Sustainable development;Software architecture;Green computing;Software development management;Sustainable development;Ecodesign","","","","43","IEEE","19 Jun 2025","","","IEEE","IEEE Conferences"
"ETSTM: A New Green Software Model","G. Hou; K. Zhou; Y. Wu; Z. Chi; J. Wang; M. Li","School of Software Technology, Dalian University of Technology, Dalian, China; School of Software Technology, Dalian University of Technology, Dalian, China; School of Software Technology, Dalian University of Technology, Dalian, China; School of Software Technology, Dalian University of Technology, Dalian, China; School of Software Technology, Dalian University of Technology, Dalian, China; School of Software Technology, Dalian University of Technology, Dalian, China",2016 IEEE Trustcom/BigDataSE/ISPA,"9 Feb 2017","2016","","","1825","1830","In green computing, the green evaluation of complex software system is an important research topic. Its task is to determine whether the software system meets the performance design constraints, such as time or energy consumption, under the premise of the function correctness. In software design phase, if the model based detection technology is used to do the green evaluation for software design, the redesign of software because the green indicator does not meet the design constraints can be avoided. Based on above ideas, we propose Energy Consumption Time State Transition Matrix(ETSTM) as the green software model, which can effectively model software logic, time and energy consumption. Through this way, we can realize the integration of software logic function and performance in one model. Then we put forward the maximum and minimum energy consumption path algorithm, and energy consumption analysis method under the constraint of multiple properties, which can provide theoretical support and technical means for model-based software green evaluation. At last, by modeling and verifying software of an intelligent sweeping robot based on ETSTM, the effectiveness of above method is proved.","2324-9013","978-1-5090-3205-1","10.1109/TrustCom.2016.0280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7847163","green evaluation;ETSTM;energy consumption analysis;green software model","Energy consumption;Software;Algorithm design and analysis;Analytical models;Computational modeling;Model checking;Software algorithms","","1","","13","IEEE","9 Feb 2017","","","IEEE","IEEE Conferences"
"Investigating the Impact of Software Design Patterns on Energy Consumption","A. Noureddine; O. Le Goaer","E2S UPPA, LIUPPA, Universite de Pau et des Pays de l’Adour, France; E2S UPPA, LIUPPA, Universite de Pau et des Pays de l’Adour, France",2025 IEEE 22nd International Conference on Software Architecture (ICSA),"30 Apr 2025","2025","","","153","163","GoF’s design patterns are popular structures designed for flexible and reusable object-oriented software. However, their energy impact is not well understood, with contradictory existing results. In this paper, we aim to answer the relation between design patterns and energy consumption through a multi-platform and multi-software stack empirical study, covering all design patterns, and multiple hardware, OS, languages and compilers. We found, with a high confidence level, that none of the GoF’s design patterns has a significant impact on energy consumption. Therefore, they can be considered energy-neutral, allowing eco-friendly developers to continue using them. We argue that software energy efficiency should rather be considered within the business logic embedded by a design pattern, and ultimately raised to a higher perspective of software development.","2835-7043","979-8-3315-2090-8","10.1109/ICSA65012.2025.00024","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10978939","Energy;Power;Design Patterns;Empirical Study;Replication Study;Software Engineering","Energy consumption;Software design;Software architecture;Operating systems;Full stack;Programming;Software;Hardware;Software development management;Business","","","","35","IEEE","30 Apr 2025","","","IEEE","IEEE Conferences"
"Understanding the impact of object oriented programming and design patterns on energy efficiency","S. Maleki; C. Fu; A. Banotra; Z. Zong","Dept. of Computer Scienc, University of Texas at Austin, Austin, TX, USA; School of Computer Science and Engineering, Beihang University, Beijing, China; Dept. of Computer Scienc, Texas State University, San Marcos, TX, USA; Dept. of Computer Scienc, Texas State University, San Marcos, TX, USA",2017 Eighth International Green and Sustainable Computing Conference (IGSC),"26 Mar 2018","2017","","","1","6","With billions of lines of code being deployed and running on cloud servers, PCs, as well as battery-driven mobile phones, embedded systems, and IoT devices, software energy efficiency will play an increasingly important role in green IT. In the past decades, object oriented programming (OOP) has become the de facto standard for commercial software design. However, very little is known about the impact of OOP and design patterns on software energy efficiency. In this paper, we conduct an empirical study on a series of OOP features and design patterns and find out that their influences on performance and energy efficiency vary greatly. Some of them have negligible impact while others could degrade performance and increase energy consumption. If used appropriately, design patterns can also help improve performance and reduce energy consumption.","","978-1-5386-3470-7","10.1109/IGCC.2017.8323605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8323605","Object-Oriented Programming;Energy-Efficiency;Design Patterns;Performance","Energy efficiency;Software;Energy consumption;Conferences;Sustainable development;Object oriented programming;Servers","","18","","29","IEEE","26 Mar 2018","","","IEEE","IEEE Conferences"
"Balancing power consumption and reliability in the embedded systems software design","F. Vargas; C. A. Rocha; B. Pianta","Electrical Engineering Department, Catholic University of Rio Grande do Sul, Porto Alegre, Brazil; Electrical Engineering Department, Catholic University of Rio Grande do Sul, Porto Alegre, Brazil; Electrical Engineering Department, Catholic University of Rio Grande do Sul, Porto Alegre, Brazil","2010 Argentine School of Micro-Nanoelectronics, Technology and Applications (EAMTA)","21 Oct 2010","2010","","","94","96","We propose a new approach, namely Optimized Embedded Signature Monitoring (OESM) to perform on-line control-flow fault detection. The underlined advantage of this approach is the ability to perform a profiling algorithm that analyses the control-flow graph of user program in order to optimize the number of checkpoints (i.e., signatures) to be inserted along with the application code. By optimization, we mean to find, for a given application, the best trade-off between the minimum number of signatures to be inserted in the code, for the maximum fault detection coverage, with the minimum impact in terms of power increase. The embedded signatures are checked at runtime by the processor against compilation-time pre-computed values every time the processor reaches these signature points.","","978-1-4244-6747-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5606368","","Software;Power demand;Reliability;Instruments;Monitoring;Radiation detectors;Fault detection","","","","19","","21 Oct 2010","","","IEEE","IEEE Conferences"
"Investigating the impacts of web servers on web application energy usage","I. Manotas; C. Sahin; J. Clause; L. Pollock; K. Winbladh","Electrical and Computer Engineering Department, University of Delaware, USA; Computer and Information Science Department, University of Delaware, USA; Computer and Information Science Department, University of Delaware, USA; Computer and Information Science Department, University of Delaware, USA; Electrical and Computer Engineering Department, University of Delaware, USA",2013 2nd International Workshop on Green and Sustainable Software (GREENS),"23 Sep 2013","2013","","","16","23","Software engineers make decisions about the design of the software they are creating on a daily basis. These decisions may impact the application in terms of efficiency, usability, flexibility, etc. Different competing design decisions are therefore often evaluated in terms of their projected impact on quality metrics prior to implementation. Recently energy has become a concern for software systems, ranging from mobile devices to large data centers. Additionally, it has been recognized that the software executing on a computing device can have a significant impact on the device's energy consumption. This raises the obvious question of whether or not it is possible to reduce the energy consumption of a software system by the means of software design decisions. This work examines how the use of different servers impacts the energy consumption of a web application. Through a controlled empirical experiment we have discovered several important findings in this regard. The results indicate that the energy consumption of a web application can vary greatly depending on the web server used to handle its requests. Furthermore, different web servers are more or less energy efficient depending on which web application features are being executed. The paper details an analysis of the results of the experiment.","","978-1-4673-6267-2","10.1109/GREENS.2013.6606417","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6606417","Energy usage;Web applications;empirical studies","Web servers;Energy consumption;Calendars;Context;Browsers","","9","","20","IEEE","23 Sep 2013","","","IEEE","IEEE Conferences"
