"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Capuano, R.; O’Dea, E.; Muccini, H.","Capuano, Roberta (57217089713); O’Dea, Eoan (60096445000); Muccini, Henry (6603279141)","57217089713; 60096445000; 6603279141","A Comparative Analysis of Monolith vs Microservices Energy Consumption","2026","Lecture Notes in Computer Science","15929 LNCS","","","260","275","0","0","10.1007/978-3-032-02138-0_17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015744794&doi=10.1007%2F978-3-032-02138-0_17&partnerID=40&md5=849d08da4564a6ec21442941924b8ced","As energy demands rise and sustainability becomes critical, Information and Communication Technology’s energy footprint is increasingly monitored. In this context, software architecture may play a significant role in determining a system’s energy consumption. This study aims to evaluate and compare the energy consumption of monolithic and microservice-based software to understand their implications for sustainable software design. We applied a cohort study approach in a controlled experimental environment using two open-source Java applications—PetClinic and TicketMonster—each implemented in both monolithic and microservice versions. Three use cases, representing different workloads, were defined and executed 30 times each per version, resulting in 360 total runs. Server energy use was measured with Powerstat and analyzed using Welch’s t-test. Our findings show that microservices may consume less energy than their monolithic counterparts under medium and heavy loads. Specifically, PetClinic and TicketMonster showed energy reductions of 4.99% and 5.05%, respectively. Across all use cases and applications, microservices demonstrated an average energy saving of 5.02% compared to monoliths. These results suggest that microservice architectures may offer improved energy efficiency in high-demand scenarios due to better resource utilization and modular execution. While the study is limited to controlled conditions and two case studies, it provides a foundation for further research on architectural decisions and sustainable software engineering practices. © 2025 Elsevier B.V., All rights reserved.","energy efficiency; software architecture; sustainable software","Energy utilization; Engineering research; Open source software; Software architecture; Software design; Sustainable development; Cohort studies; Comparative analyzes; Critical technologies; Energy; Energy demands; Energy-consumption; Experimental environment; Information and Communication Technologies; Monolithics; Sustainable softwares; Energy efficiency","Conference paper","Final","","Scopus","2-s2.0-105015744794"
"","","","19th European Conference on Software Architecture, ECSA 2025","2026","Lecture Notes in Computer Science","15929 LNCS","","","","","405","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015621121&partnerID=40&md5=ed088800b22d3c2329b9fd8ac8fcb884","The proceedings contain 27 papers. The special focus in this conference is on Software Architecture. The topics include: MLOps in Practice: Requirements and a Reference Architecture from Industry; HarmonE: A Self-adaptive Approach to Architecting Sustainable MLOps; Using Incremental LLM Context for Cost Reduction in LLM-Driven IoT Applications; Automated Software Architecture Design Recovery from Source Code Using LLMs; Exploring Architectural Smells Detection Through LLMs; LLMs for Software Architecture Knowledge: A Comparative Analysis Among Seven LLMs; LLM-Based Quality Assessment of Software Architecture Diagrams: A Preliminary Study with Four Open-Source Projects; nanosatellite Flight Software: A Rigorous Software Architecture Perspective; Towards Mixed-Criticality Software Architectures for Centralized HPC Platforms in Software-Defined Vehicles: A Systematic Literature Review; runtime Monitor Synthesis for Automotive Software Architectures; model-Based Proactive Self-adaptation for Cloud Systems; SAFER-D: A Self-adaptive Security Framework for Distributed Computing Architectures; SURE! A Catalog of Uncertainties and RELAXed Requirements for Self-adaptive Systems; architecting Federated Learning Systems: A Requirement-Driven Approach; centrality Change Proneness: An Early Indicator of Microservice Architectural Degradation; a Comparative Analysis of Monolith vs Microservices Energy Consumption; data-Driven Understanding of Design Decisions in Pattern-Based Microservices Architecture; Architectural Design Decisions and Best Practices for Fast and Efficient CI/CD Pipelines; from Lab to Market: Architectural Evolution in Open Source Transition; how Do Practitioners Perceive the Relevance of Software Architecture Research?; towards Legal Knowledge Transfer Based on Software Architecture; webAssembly with wasi-nn for Edge Machine Learning Inference: Experiences and Lessons Learned; software Architecture for a Robust, Multithreaded, Realtime, Control System Used on an Adaptive Racecar; asynchronous Interoperability Description and Authentication:: Addressing Challenges in a Webhook-Based Event-Driven Architecture; variant Management Impact on Architectural Maintainability in Embedded Systems – A Case Study. © 2025 Elsevier B.V., All rights reserved.","","","Conference review","Final","","Scopus","2-s2.0-105015621121"
"De Martino, V.; Voria, G.; Troiano, C.; Catolino, G.; Palomba, F.","De Martino, Vincenzo (58770145200); Voria, Gianmario (58064534900); Troiano, Ciro (59349019700); Catolino, Gemma (57131181700); Palomba, Fabio (55321369000)","58770145200; 58064534900; 59349019700; 57131181700; 55321369000","Examining the impact of bias mitigation algorithms on the sustainability of ML-enabled systems: A benchmark study","2025","Journal of Systems and Software","230","","112458","","","0","1","10.1016/j.jss.2025.112458","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006881113&doi=10.1016%2Fj.jss.2025.112458&partnerID=40&md5=283c4958cb15ebafc24a70572b14f23c","Context: As machine learning (ML) systems become increasingly prevalent across various industries, concerns regarding fairness have intensified. Bias mitigation algorithms—that aim to reduce bias in ML models—serve as solutions to mitigate this issue. However, these techniques can affect more than just social sustainability. They may alter the computational overhead and energy usage of ML systems, affecting their environmental sustainability. Similarly, they can influence businesses’ economic sustainability by shaping resource allocation and consumer trust. Goal: This work aims to provide a benchmark study of the implications of applying bias mitigation algorithms on the sustainability of ML solutions. We first corroborate previous findings by examining their effect on social sustainability metrics. Additionally, we complement existing studies by offering a comprehensive analysis of how bias mitigation affects environmental and economic sustainability, aiming to highlight trade-offs for practitioners designing ML solutions. Method: We evaluate six bias mitigation algorithms by conducting 3,360 experiments across multiple configurations of four ML algorithms and datasets. From these experiments, we compute metrics for social, environmental, and economic sustainability, evaluating them using statistical analysis. Results: Our quantitative findings show that all bias mitigation algorithms affect the three sustainability dimensions differently, indicating that applying these algorithms involves complex trade-offs. Furthermore, we expand our discussion with qualitative insights that arise from our results, also providing implications for both research and practice. Conclusions: Our study emphasizes the need for a deeper investigation into the trade-offs bias mitigation algorithms introduce and how they impact various non-functional requirements of ML systems. Editor's note: Open Science material was validated by the Journal of Systems and Software Open Science Board. © 2025 Elsevier B.V., All rights reserved.","Machine learning-enabled systems; Software engineering for artificial intelligence; Software sustainability","Computer operating systems; Computer software maintenance; Economic analysis; Environmental management systems; Green development; Software packages; Software quality; Sustainable development; Verification; Benchmark study; Economic sustainability; Environmental sustainability; Machine learning systems; Machine learning-enabled system; Machine-learning; Social sustainability; Software engineering for artificial intelligence; Software sustainability; Trade off; Software design","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105006881113"
"Celik, E.; Dal, D.","Celik, Esra (57224012603); Dal, Deniz (15922306500)","57224012603; 15922306500","A systematic review of machine learning-driven design space exploration in high-level synthesis","2025","Integration","105","","102513","","","0","0","10.1016/j.vlsi.2025.102513","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105014090830&doi=10.1016%2Fj.vlsi.2025.102513&partnerID=40&md5=7292988ac4e9e14a1c79ec171f0cd8fb","In today's rapidly evolving technological landscape, digitization across all sectors has intensified the complexity of hardware design processes due to increasing demands in data processing, artificial intelligence integration, and performance requirements. Innovative technologies such as the Internet of Things (IoT), 5G networks, big data analytics, and cloud computing introduce multifaceted requirements related to performance, flexibility, adaptability, and energy efficiency. These advancements present significant challenges in digital system design, requiring sophisticated solutions beyond traditional approaches. Conventional design methodologies show limitations in addressing the growing complexity and the resource-intensive nature of the design process. High-Level Synthesis (HLS) has emerged as a critical technology to accelerate digital system design and to enable the hardware implementation of complex algorithms. HLS converts software-level algorithmic specifications into hardware implementations, offering substantial time and cost benefits. However, the increasing complexity of modern digital systems has revealed the limitations of traditional design space exploration (DSE) methods, particularly in optimizing diverse design parameters. Machine learning-based DSE approaches offer transformative solutions, delivering improved efficiency and optimization capabilities in HLS workflows. This study provides a comprehensive analysis of ML-driven DSE techniques in HLS, focusing on innovative approaches to hardware design optimization. It evaluates the impact of various machine learning paradigms — including supervised learning, deep learning, reinforcement learning, and transfer learning — on optimizing critical metrics such as performance, energy efficiency, and resource utilization. ML-based DSE methods demonstrate high accuracy and computational efficiency across vast, multidimensional design spaces, significantly reducing manual efforts through data-driven decision mechanisms. This facilitates rapid evaluation of design parameters and improves development efficiency. Furthermore, ML-driven predictive models accelerate design workflows while reducing computational overhead from synthesis and simulation, enabling accurate predictions for performance, resource use, and energy consumption. The study also explores ML-based DSE contributions in multi-objective optimization, memory and power efficiency, and hardware accelerator design, emphasizing the role of advanced techniques such as Graph Neural Networks (GNNs) in modeling parameter interactions within HLS workflows. The paper concludes with a thorough discussion of the advantages, existing limitations, and future directions of ML-based DSE methods in HLS, highlighting their potential to enhance HLS workflows and meet the evolving demands of high-performance digital system design. © 2025 Elsevier B.V., All rights reserved.","Artificial intelligence; Automation; Deep learning; Design parameters; Design space exploration; Digital circuit synthesis; Hardware accelerator design; High performance; High-level synthesis; HLS; Machine learning; Multi-objective optimization; Optimization; Predictive models; Reinforcement learning; Review; Supervised learning; Survey; Transfer learning","Advanced Analytics; Big data; Complex networks; Data reduction; Deep learning; Energy efficiency; Green computing; Internet of things; Learning algorithms; Learning systems; Machine design; Multiobjective optimization; Software design; Space research; Supervised learning; Systems analysis; Transfer learning; Accelerator design; Circuit synthesis; Design parameters; Design space exploration; Digital circuit synthesis; Hardware accelerator design; Hardware accelerators; High performance; High-level synthesis; Machine-learning; Multi-objectives optimization; Optimisations; Performance; Predictive models; Reinforcement learnings; High level synthesis; Reinforcement learning; Reviews","Review","Final","","Scopus","2-s2.0-105014090830"
"Narang, G.; Ogbogu, C.; Joardar, B.K.; Doppa, J.R.; Chakrabarty, K.; Pande, P.P.","Narang, Gaurav (56743098300); Ogbogu, Chukwufumnanya O. (57846109400); Joardar, Biresh Kumar (57197873657); Doppa, Janardhan Rao (35324430700); Chakrabarty, Krishnendu (57203198425); Pande, Partha Pratim (8904096300)","56743098300; 57846109400; 57197873657; 35324430700; 57203198425; 8904096300","GINA: Exploiting Graph Neural Network Layer Features for Energy Efficient Inferencing in NVM-based PIM Accelerators","2025","ACM Transactions on Embedded Computing Systems","24","5 s","116","","","0","0","10.1145/3759918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018573306&doi=10.1145%2F3759918&partnerID=40&md5=fa8fc9258c787fcea4b57297eaa12fec","Graph Neural Networks (GNNs) are made up of multiple layers, with each layer comprising of different compute kernels involving weight vectors and adjacency matrices of input graph dataset. These layers exhibit varying features such as sparsity, storage requirement, and impact on predictive accuracy. Nonvolatile memory (NVM)-based 3D Processing-In-Memory (PIM) architectures offer a promising approach to accelerate GNN inferencing. However, NVM device-based crossbars suffer from various non-idealities that affect the overall predictive accuracy. In this work, we consider the problem of finding a suitable mapping of GNN layers to PIM-based processing elements (PEs) in a 3D manycore architecture such that the impact of crossbar non-idealities on predictive accuracy is minimized. We develop a framework called GINA, which leverages low-cost, approximate Hessian-based methodology to automatically determine the GNN layers that are critical for accuracy and find a suitable GNN layer to PE mapping. To tackle non-idealities and to exploit sparsity at the crossbar level, a subset of the full crossbar is activated in a cycle, referred to as Operation Unit (OU). However, OU configurations vary with the above-mentioned GNN layer features, time-dependent conductance drift, and input graph dataset. GINA learns to optimize the OU configuration for unseen datasets as a function of GNN layer features and time-dependent conductance drift. Our experimental results demonstrate that GINA-enabled 3D PIM architecture reduces the latency and energy by 7.4 imes and 13 imes on an average, respectively, compared to state-of-the-art PIM architectures without compromising the predictive accuracy. Finally, we demonstrate the applicability of GINA to Convolutional Neural Networks (CNNs) and Vision Transformers. © 2025 Elsevier B.V., All rights reserved.","Graph neural networks; hessian; operation units; processing in memory","Architecture; Computation theory; Convolutional neural networks; Graph neural networks; Mapping; Memory architecture; Multilayer neural networks; Network architecture; Network layers; Nonvolatile storage; Particle accelerators; Software architecture; Three dimensional computer graphics; 3-d processing; Hessian; Input graphs; Non-volatile memory; Nonideality; Nonvolatile memory; Operations units; Predictive accuracy; Processing-in-memory; Energy efficiency","Article","Final","","Scopus","2-s2.0-105018573306"
"Cheung, K.S.; Kaul, M.; Jahangirova, G.; Mousavi, M.R.; Zie, E.","Cheung, Kuen Sum (59951542800); Kaul, Mayuri (59951440000); Jahangirova, Gunel (57190973501); Mousavi, Mohammad Reza (7005703024); Zie, Eric (58567591500)","59951542800; 59951440000; 57190973501; 7005703024; 58567591500","Comparative Analysis of Carbon Footprint in Manual vs. LLM-Assisted Code Development","2025","","","","","13","20","0","0","10.1145/3711919.3728678","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105012253582&doi=10.1145%2F3711919.3728678&partnerID=40&md5=a323250678cec796e78086f271dede7e","Large Language Models (LLM) have significantly transformed various domains, including software development. These models assist programmers in generating code, potentially increasing productivity and efficiency. However, the environmental impact of utilising these AI models is substantial, given their high energy consumption during both training and inference stages. This research aims to compare the energy consumption of manual software development versus an LLM-assisted approach, using Codeforces as a simulation platform for software development. The goal is to quantify the environmental impact and propose strategies for minimising the carbon footprint of using LLM in software development. Our results show that the LLM-assisted code generation leads on average to 32.72 higher carbon footprint than the manual one. Moreover, there is a significant correlation between task complexity and the difference in the carbon footprint of the two approaches. © 2025 Elsevier B.V., All rights reserved.","carbon footprint; LLM code generation; manual code generation; software engineering; sustainability","Codes (symbols); Computer software; Energy utilization; Environmental impact; Simulation platform; Software design; Sustainable development; Code development; Codegeneration; Comparative analyzes; High energy consumption; Inference stages; Language model; Large language model code generation; Manual code generation; Manual codes; Carbon footprint","Conference paper","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105012253582"
"Cruz, L.; Franch, X.; Martínez-Fernández, S.","Cruz, Luis (57143791700); Franch, Xavier (6603081752); Martínez-Fernández, Silverio (55363648100)","57143791700; 6603081752; 55363648100","Innovating for Tomorrow: The Convergence of Software Engineering and Green AI","2025","ACM Transactions on Software Engineering and Methodology","34","5","138","","","0","1","10.1145/3712007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008803878&doi=10.1145%2F3712007&partnerID=40&md5=99b1208b84623ad8834d4f45df1e0930","The latest advancements in machine learning, specifically in foundation models, are revolutionizing the frontiers of existing software engineering (SE) processes. This is a bi-directional phenomenon, where (1) software systems are now challenged to provide AI-enabled features to their users, and (2) AI is used to automate tasks within the software development lifecycle. In an era where sustainability is a pressing societal concern, our community needs to adopt a long-term plan enabling a conscious transformation that aligns with environmental sustainability values. In this article, we reflect on the impact of adopting environmentally friendly practices to create AI-enabled software systems and make considerations on the environmental impact of using foundation models for software development. © 2025 Elsevier B.V., All rights reserved.","Green AI; Green Software; Software Engineering; Sustainability","Artificial intelligence; Computer software; Environmental impact; Learning systems; Life cycle; Software design; Bi-directional; Foundation models; Green AI; Green software; Machine-learning; Pressung; Societal concerns; Software development life-cycle; Software engineering process; Software-systems; Sustainable development","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105008803878"
"Kuns, M.-C.; Tröpgen, H.; Schöne, R.","Kuns, Malte Christian (59150781100); Tröpgen, Hannes (58236804500); Schöne, Robert (15019783300)","59150781100; 58236804500; 15019783300","An Analysis of User-space Idle State Instructions on x86 Processors","2025","","","","","232","239","0","0","10.1145/3676151.3719370","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007282995&doi=10.1145%2F3676151.3719370&partnerID=40&md5=d405f1e7b85e5fdf3ba55a38acc358c5","Power consumption has become a limiting factor in all areas of computing. Hence, making the most of the available power budget is paramount. To use the available budget most efficiently, techniques like dynamic voltage and frequency scaling and idle states can be used. This work analyzes the instructions UMWAIT, TPAUSE, and MWAITX on three different systems. We analyze their instruction latencies, power consumptions, and dependencies on core frequencies. To do so, we introduce benchmarks to gather performance and power parameters, which can be used for future software optimizations. Key findings include: The expected sleep duration passed to UMWAIT and TPAUSE can influence the depth of the user idle state. The actual sleep duration of TPAUSE increases stepwise with an increasing expected sleep duration. Requesting a deeper idle state leads to an additional sleep duration, which increases with a lower core frequency. The core frequency influences the instruction latency of TPAUSE, where a low frequency can lead to an irregular performance pattern. The latency of TPAUSE, UMWAIT, and MWAITX is most often higher than requested on the evaluated systems. Core power consumption can be reduced by ∼20% ∼70% compared to the usage of PAUSE. The latency for waking a core in user idle reflects the underlying hardware architecture with tens (desktop architecture with shallow idle states) to hundreds (server architecture with deep idle states) of nanoseconds at nominal frequencies. © 2025 Elsevier B.V., All rights reserved.","energy efficiency; mwaitx; tpause; umwait; user-space idle states","Budget control; Physical addresses; Available power; Dynamic voltage and frequency scaling; Energy; Mwaitx; Power; Power budgets; Tpause; Umwait; User spaces; User-space idle state; Software architecture","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007282995"
"Poy, O.; Moraga, M.Á.; García, F.; Calero, C.","Poy, Olivia (59459355500); Moraga, Mª Ángeles (13907995200); García, Félix O. (35452740600); Calero, Coral (6603578832)","59459355500; 13907995200; 35452740600; 6603578832","Impact on energy consumption of design patterns, code smells and refactoring techniques: A systematic mapping study","2025","Journal of Systems and Software","222","","112303","","","0","4","10.1016/j.jss.2024.112303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211100367&doi=10.1016%2Fj.jss.2024.112303&partnerID=40&md5=ebcfc9acc0520efe136cae2137100d7f","Software energy efficiency is an increasingly relevant aspect that should be taken into account during software development and some of the most common design and coding decisions include the use of design patterns, the removal of code smells and the use of refactoring techniques. Therefore, the aim of this systematic mapping study is to provide an overview on the impact that design patterns, code smells, and refactoring techniques have on the energy consumption of software. This may assist practitioners in developing energy-efficient software as well as the research community in undertaking further research on the topic. The results of the primary studies showed that design patterns, code smells and refactoring techniques impact software energy consumption. However, not all of them have a clear positive or negative effect, which requires further study. Overall, the use of design patterns seems to have a negative impact on energy consumption, the removal of code smells tends to have a more positive impact. We found no conclusive result on the relationship between using refactoring techniques and energy consumption. © 2024 Elsevier B.V., All rights reserved.","Code smells; Design patterns; Energy efficiency; Green software; Refactoring techniques","Code re-factoring; Code smell; Design Patterns; Energy; Energy-consumption; Green software; Pattern code; Refactoring technique; Refactorings; Systematic mapping studies","Article","Final","","Scopus","2-s2.0-85211100367"
"Connolly Bree, D.; O Cinneide, M.","Connolly Bree, Deaglan (57222310006); O Cinneide, Mel (57256662700)","57222310006; 57256662700","How Software Design Affects Energy Performance: A Systematic Literature Review","2025","Journal of Software: Evolution and Process","37","4","e70014","","","0","0","10.1002/smr.70014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002042633&doi=10.1002%2Fsmr.70014&partnerID=40&md5=84cfd892c4a995dbbb4835c50ed0e51c","Interest in the energy consumption of software has grown with rising energy costs and greater environmental awareness. Many approaches to research in this area have been proposed, from the examination of hardware and compiler optimizations to platform specific software modifications. However, the impact of general software design on energy efficiency remains unclear. The goal of this research is to summarize the findings of studies that empirically examine the impact of design patterns, code smells, and refactorings (which we collectively describe as design elements) on energy consumption. Our secondary goal is to provide an overview of the impact of these aspects of software design on energy performance and discuss the current state of the art. We present a systematic literature review (SLR) of papers that examine the impact of the aforementioned design elements on energy consumption. We perform a search through four major databases, a manual search through publications of eight conferences and five journals from 2010 through 2023, in addition to snowballing. We extract relevant data from the literature and present an overview of each experiment's setup, the data reported, and results for each design element studied. Beginning with a set of 8684 papers, we select 24 that include studies of these design elements. Overall, they provide data on 22 design patterns, 17 code smells, and 31 refactorings. Many studies are preliminary in nature, and contradictory findings are frequent. We present three main findings: (i) a wide array of design patterns, code smells, and refactorings have been examined from an energy performance perspective; (ii) many of these studies are preliminary in nature and indicate the need for further research; (iii) there has been little growth recently in publications empirically examining these aspects of software design. © 2025 Elsevier B.V., All rights reserved.","code smells; design patterns; energy performance; refactoring; software design; systematic literature review","Program compilers; Reviews; Software design; Code re-factoring; Code smell; Design elements; Design Patterns; Energy performance; Energy-consumption; Pattern code; Refactorings; Software process; Systematic literature review; Hardware-software codesign","Article","Final","","Scopus","2-s2.0-105002042633"
